userID;fio;phone;login;password;typeID
1;Трубин Никита Юрьевич;89210563128;kasoo;root;1
2;Мурашов Андрей Юрьевич;89535078985;murashov123;qwerty;2
3;Степанов Андрей Викторович;89210673849;test1;test1;2
4;Перина Анастасия Денисовна;89990563748;perinaAD;250519;3
5;Мажитова Ксения Сергеевна;89994563847;krutiha1234567;1234567890;3
6;Семенова Ясмина Марковна;89994563847;login1;pass1;2
7;Баранова Эмилия Марковна;89994563841;login2;pass2;4
8;Егорова Алиса Платоновна;89994563842;login3;pass3;4
9;Титов Максим Иванович;89994563843;login4;pass4;4
10;Иванов Марк Максимович;89994563844;login5;pass5;2
